netCodes	staCodes	stlas	stlos	startDate	endDate	numDays	gapDays	netFlag	staFlag
YB	BB30	-28.7963	24.8662	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
YB	BB31	-28.7937	24.9256	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IP	MTOR	28.4948	-9.8487	20-Mar-2010 00:00:00	23-Oct-2010 23:59:59	46	172	3	3
ZU	LWND	-2.7454	36.0408	11-Jan-2008 00:00:00	26-Jan-2008 23:59:59	9	7	3	3
ZU	GLUM	-2.6215	36.1867	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
ZU	KERM	-2.8265	35.9794	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	BROLN	-21.09967	27.33424	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	BTLPN	-18.78417	25.196014	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	CKGRV	-21.40355	23.771767	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	GMARE	-19.3893	22.162458	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	GRTLG	-21.36191	21.215712	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	KDWAN	-23.38039	24.660793	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	KGCAE	-22.85382	22.206787	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	KHWEE	-21.9464	25.446911	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	KOOLE	-22.99306	20.19555	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	KSANE	-17.80017	25.161894	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	LKGWB	-24.11351	21.782303	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	LPHEP	-23.36303	25.859613	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	MAKGR	-25.81185	24.800846	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	MREMI	-22.56967	27.446816	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	PHDHD	-20.19568	24.537193	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	PHPEN	-25.47553	22.857294	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	QNGWA	-19.52956	21.174	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	SKOMA	-24.51534	23.932789	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	SLIND	-18.62088	23.500484	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	SOOWA	-20.56285	26.21785	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
BX	XAUDM	-18.53956	21.338222	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOA1	13.1529	1.6919	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOA2	13.1477	1.7004	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOA3	13.1422	1.6933	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOB1	13.1613	1.6934	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOB2	13.1532	1.7071	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOB3	13.1376	1.7042	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOB4	13.1386	1.6838	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TOB5	13.1536	1.6806	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
IM	TORD	13.1477	1.6947	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
WM	SFS2	35.1837	-2.4304	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	3	3
